Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,90.440002,93.440002,89.849998,92.959999,73.024796,227566300
2009-01-05,92.629997,93.660004,91.889999,92.849998,72.938377,240349700
2009-01-06,93.639999,94.449997,92.680000,93.470001,73.425415,328260900
2009-01-07,92.000000,92.260002,90.199997,90.669998,71.225891,280899200
2009-01-08,90.160004,91.089996,89.669998,91.040001,71.516556,263834400
2009-01-09,91.160004,91.320000,85.360001,89.089996,69.984703,330953600
2009-01-12,88.839996,88.910004,86.410004,86.949997,68.303619,277858500
2009-01-13,86.730003,87.879997,86.199997,87.110001,68.429306,356432300
2009-01-14,85.540001,85.750000,83.160004,84.370003,66.276932,435491600
2009-01-15,84.120003,85.250000,81.720001,84.400002,66.300468,532647300
2009-01-16,85.860001,85.989998,83.050003,85.059998,66.818954,399237200
2009-01-20,84.230003,85.059998,80.050003,80.570000,63.291828,419855200
2009-01-21,81.940002,84.239998,80.470001,84.050003,66.025536,364360700
2009-01-22,82.419998,84.040001,81.169998,82.750000,65.004326,427940300
2009-01-23,80.900002,83.989998,80.570000,83.110001,65.287117,386800600
2009-01-26,83.589996,85.360001,82.809998,83.680000,65.734886,317978800
2009-01-27,84.129997,85.150002,83.300003,84.529999,66.402611,273789700
2009-01-28,86.400002,87.949997,86.070000,87.389999,68.649269,330007000
2009-01-29,86.110001,87.489998,84.470001,84.550003,66.418335,294392500
2009-01-30,84.980003,85.400002,82.209999,82.830002,65.067177,383383600
2009-02-02,81.570000,83.180000,81.309998,82.580002,64.870789,288233300
2009-02-03,83.099998,84.360001,82.220001,83.739998,65.782013,278385800
2009-02-04,84.300003,85.370003,83.040001,83.330002,65.459930,322989300
2009-02-05,82.699997,85.290001,77.730003,84.570000,66.434029,417679400
2009-02-06,84.860001,87.339996,84.680000,86.980003,68.327194,366101700
2009-02-09,86.959999,87.739998,86.320000,87.099998,68.421455,240075200
2009-02-10,86.269997,87.029999,82.449997,83.110001,65.287117,536212800
2009-02-11,83.449997,84.050003,82.400002,83.599998,65.672050,324442500
2009-02-12,82.169998,83.820000,81.050003,83.660004,65.719177,469302200
2009-02-13,83.550003,84.239998,82.739998,82.760002,65.012192,293998400
2009-02-17,80.160004,82.959999,79.169998,79.220001,62.231342,478910100
2009-02-18,79.790001,79.940002,78.279999,79.029999,62.082088,362964800
2009-02-19,79.839996,80.150002,78.019997,78.180000,61.414371,316867500
2009-02-20,76.730003,78.339996,75.769997,77.419998,60.817337,477176600
2009-02-23,78.269997,78.269997,74.589996,74.650002,58.641380,379641400
2009-02-24,75.290001,77.949997,74.699997,77.480003,60.864471,426260900
2009-02-25,77.139999,78.419998,75.629997,76.870003,60.385281,461985800
2009-02-26,77.820000,79.669998,75.529999,75.620003,59.403355,363353900
2009-02-27,74.010002,75.690002,73.809998,73.930000,58.075756,470510900
2009-03-02,72.519997,73.919998,70.370003,70.599998,55.459877,426452600
2009-03-03,71.610001,71.699997,69.639999,70.070000,55.043537,443761000
2009-03-04,71.230003,72.870003,70.070000,71.730003,56.347557,462753100
2009-03-05,70.099998,71.730003,68.169998,68.800003,54.045895,485549400
2009-03-06,69.400002,70.449997,67.099998,68.919998,54.140156,490470000
2009-03-09,67.949997,70.000000,67.730003,68.110001,53.503864,379905300
2009-03-10,69.510002,72.370003,69.370003,72.169998,56.693195,406227900
2009-03-11,73.000000,73.750000,71.830002,72.639999,57.062420,356648300
2009-03-12,72.620003,75.750000,71.970001,75.500000,59.309074,409702700
2009-03-13,76.010002,76.980003,74.730003,76.089996,59.772564,337474700
2009-03-16,76.959999,77.970001,75.809998,75.860001,59.591873,360644900
2009-03-17,76.070000,78.360001,75.449997,78.180000,61.414371,356814300
2009-03-18,77.809998,80.900002,77.070000,79.930000,62.789085,473273200
2009-03-19,80.930000,81.000000,78.690002,78.940002,62.011360,428520400
2009-03-20,78.760002,78.910004,76.529999,76.709999,60.690903,371078200
2009-03-23,78.739998,82.290001,78.309998,82.220001,65.050285,419933300
2009-03-24,81.239998,82.360001,80.510002,80.599998,63.768574,330271000
2009-03-25,81.230003,82.699997,79.059998,81.449997,64.441078,441775100
2009-03-26,82.250000,83.300003,81.320000,83.110001,65.754448,422025200
2009-03-27,82.050003,82.529999,81.309998,81.610001,64.567673,322332300
2009-03-30,79.800003,79.870003,77.959999,78.790001,62.336548,324108500
2009-03-31,79.559998,81.080002,79.050003,79.519997,62.914089,364238300
2009-04-01,78.529999,81.419998,78.330002,81.059998,64.132515,377018300
2009-04-02,83.080002,84.610001,81.129997,83.430000,66.007607,476230700
2009-04-03,83.489998,84.279999,82.669998,84.260002,66.664261,284646300
2009-04-06,83.339996,84.279999,82.290001,83.599998,66.142105,264866600
2009-04-07,82.250000,82.650002,81.510002,81.650002,64.599297,258947800
2009-04-08,82.059998,82.940002,81.540001,82.529999,65.295547,230402800
2009-04-09,84.669998,85.820000,84.330002,85.809998,67.890556,269653500
2009-04-13,84.919998,86.540001,84.580002,85.830002,67.906410,224847500
2009-04-14,85.029999,85.760002,84.080002,84.349998,66.735451,276598800
2009-04-15,83.839996,85.419998,83.610001,85.250000,67.447510,250726100
2009-04-16,85.930000,87.150002,84.769997,86.500000,68.436485,335202900
2009-04-17,86.830002,87.650002,86.139999,87.080002,68.895386,262649000
2009-04-20,85.540001,87.050003,83.339996,83.430000,66.007607,293690100
2009-04-21,82.820000,85.129997,82.750000,85.059998,67.297218,114090900
